"Comment","Designator","Footprint","LCSC Part #"
"ATtiny841-SSU","ATTINY841","SOIC-14_3.9x8.7mm_Pitch1.27mm","C219103"
"100nF","C1","C_0805","C49678"
"2.2uF","C2","C_0603","C23630"
"10uF X5R","C3","C_0603","C19702"
"ADR5040BRTZ-REEL7 2.048V","D1","SOT-23","C48833"
"Blue","D2","LED_0805","C2293"
"Red","D3","LED_0805","C84256"
"Green","D4","LED_0805","C2297"
"AO3400A","Q1","SOT-23","C20917"
"10KOHMS","R1","R_0603","C25804"
"1KOHMS","R2","R_0603","C21190"
"470KOHMS","R3","R_0603","C23178"
"390KOHMS","R4","R_0603","C23150"
"510OHMS","R5,R14","R_0603","C23193"
"47KOHMS","R15,R20,R21","R_0603","C25819"
"4.7KOHMS","R16","R_0603","C23162"
"2.2KOHMS","R18,R17","R_0603","C4190"
"NCP18WB473J03RB","R19","R_0603","C86142"
"1.8KOHMS","R23","R_0603","C4177"
"6.2OHMS","R30,R28,R26,R24,R29,R27,R25,R22,R13,R11,R9,R7,R12,R10,R8,R6,R34,R33,R32,R31","R_1206","C25344"
"EL3H7(B)(TA)-G","U1","SOP-4_4.4x2.8mm_Pitch1.27mm","C32565"
