Ref,Val,Package,PosX,PosY,Rot,Side
"ATTINY841","ATtiny841-SSU","SOIC-14_3.9x8.7mm_Pitch1.27mm",124.117600,-69.387600,0.000000,top
"C1","100nF","C_0603",121.967600,-63.887600,0.000000,top
"C2","2.2uF","C_0603",126.717600,-63.087600,0.000000,top
"C3","MLCC 10UF 10V","C_0603",115.117600,-67.487600,0.000000,top
"D1","ADR5040BRTZ-REEL7 2.048V","SOT-23",126.717600,-60.487600,90.000000,top
"D2","Blue","LED_0603",110.317600,-94.187600,0.000000,top
"D3","Red","LED_0603",104.117600,-55.387600,0.000000,top
"D4","Green","LED_0603",129.317600,-55.087600,0.000000,top
"Q1","IRLML6244TRPBF","SOT-23",115.117600,-64.487600,90.000000,top
"R1","10K","R_0603",118.717600,-68.687600,270.000000,top
"R2","1K","R_0603",123.917600,-75.187600,0.000000,top
"R3","470KOHMS ±1% 1/10W","R_0603",118.717600,-74.587600,90.000000,top
"R4","390KOHMS ±1% 1/10W","R_0603",118.717600,-71.587600,270.000000,top
"R5","510R","R_0603",117.217600,-57.687600,180.000000,top
"R6","2R 1W","R_2512",109.617600,-69.187600,90.000000,top
"R7","2R 1W","R_2512",109.617600,-79.187600,270.000000,top
"R8","2R 1W","R_2512",105.117600,-69.187600,90.000000,top
"R9","2R 1W","R_2512",105.117600,-79.187600,270.000000,top
"R10","2R 1W","R_2512",105.117600,-60.999200,90.000000,top
"R11","2R 1W","R_2512",105.117600,-87.487600,270.000000,top
"R12","2R 1W","R_2512",109.617600,-60.999200,270.000000,top
"R13","2R 1W","R_2512",109.617600,-87.487600,90.000000,top
"R14","510R","R_0603",114.967600,-73.487600,0.000000,top
"R15","47K","R_0603",114.967600,-70.487600,0.000000,top
"R16","4K7","R_0603",114.117600,-57.687600,0.000000,top
"R17","2K2","R_0603",106.917600,-55.187600,90.000000,top
"R18","2K2","R_0603",129.217600,-56.687600,180.000000,top
"R19","NCP18WB473J03RB","R_0603",105.817600,-74.187600,0.000000,top
"R20","47K","R_0603",109.417600,-73.987600,0.000000,top
"R21","47K","R_0603",125.117600,-79.087600,180.000000,top
"R23","1K8","R_0603",110.117600,-95.787600,180.000000,top
"U1","HMHA2801AR2","SOP-4_4.4x2.8mm_Pitch1.27mm",117.217600,-52.287600,90.000000,top
