Ref,Val,Package,PosX,PosY,Rot,Side
"ATTINY841","ATtiny841-SSU","SOIC-14_3.9x8.7mm_Pitch1.27mm",124.117600,-68.387600,0.000000,top
"C1","100nF","C_0805",119.817600,-62.587600,0.000000,top
"C2","2.2uF","C_0603",126.117600,-61.787600,0.000000,top
"C3","10uF X5R","C_0603",115.117600,-67.487600,0.000000,top
"D1","ADR5040BRTZ-REEL7 2.048V","SOT-23",124.217600,-59.087600,90.000000,top
"D2","Blue","LED_0805",110.117600,-93.987600,0.000000,top
"D3","Red","LED_0805",105.517600,-55.287600,0.000000,top
"D4","Green","LED_0805",129.317600,-55.087600,0.000000,top
"Q1","AO3400A","SOT-23",115.117600,-64.487600,90.000000,top
"R1","10KOHMS","R_0603",118.717600,-67.687600,270.000000,top
"R2","1KOHMS","R_0603",123.917600,-74.187600,0.000000,top
"R3","470KOHMS","R_0603",118.717600,-73.587600,90.000000,top
"R4","390KOHMS","R_0603",118.717600,-70.587600,270.000000,top
"R5","510OHMS","R_0603",116.917600,-53.987600,0.000000,top
"R6","2OHMS","R_2512",109.617600,-69.187600,90.000000,top
"R7","2OHMS","R_2512",109.617600,-79.187600,270.000000,top
"R8","2OHMS","R_2512",105.117600,-69.187600,90.000000,top
"R9","2OHMS","R_2512",105.117600,-79.187600,270.000000,top
"R10","2OHMS","R_2512",105.117600,-60.999200,90.000000,top
"R11","2OHMS","R_2512",105.117600,-87.487600,270.000000,top
"R12","2OHMS","R_2512",109.617600,-60.999200,270.000000,top
"R13","2OHMS","R_2512",109.617600,-87.487600,90.000000,top
"R14","510OHMS","R_0603",114.967600,-73.487600,0.000000,top
"R15","47KOHMS","R_0603",114.967600,-70.487600,0.000000,top
"R16","4.7KOHMS","R_0603",116.917600,-49.787600,0.000000,top
"R17","2.2KOHMS","R_0603",116.917600,-51.887600,0.000000,top
"R18","2.2KOHMS","R_0603",128.617600,-57.187600,180.000000,top
"R19","NCP18WB473J03RB","R_0603",105.817600,-74.187600,0.000000,top
"R20","47KOHMS","R_0603",109.417600,-73.987600,0.000000,top
"R21","47KOHMS","R_0603",130.217600,-76.287600,180.000000,top
"R23","1.8KOHMS","R_0603",110.117600,-95.787600,180.000000,top
"U1","EL3H7(B)(TA)-G","SOP-4_4.4x2.8mm_Pitch1.27mm",117.017600,-58.387600,0.000000,top
